LooDefault,Study Number,Study Abbreviation,N Total,Cases, Controls,X Chromsome Analyzed,CaseControl_File
1,1,MRSC,206,17,189,X,mrsc_mrsc_aam_pcs.PHENO1.assoc.gz_XXX
1,1,MRSC (CVC),,,,,
2,2,ONGA,,,,,
3,3,SAFR,200,69,131,X,safr_safr_aam_pcs.PHENO1.assoc.gz_XXX
4,4,DNHS,574,148,426,X,dnhs_dnhs_aam_pcs.PHENO1.assoc.gz_XXX
5,5,NHS2,,,,,
6,6,GSDC,2488,350,2138,X,gsdc_gsdc_aam_pcs.Case.assoc.gz_XXX
7,7,FSCD,560,156,404,X,fscd_fscd_aam_pcs.PHENO1.assoc.gz_XXX
8,8,COGA,,,,,cogb_cogb_aam_pcs.PHENO1.assoc.gz_XXX
8,9,COGB,369,32,337,X,
10,10,BRYA,,,,,
11,11,SATU,,,,,
11,12,DEFE,,,,,
13,13,NHRV,,,,,
13,13,NHRV (VAKN,,,,,
14,14,NSS1,1435,219,1216,X,nss1_nss1_aam_pcs.Case.assoc.gz_XXX
14,15,NSS2,425,145,280,X,nss2_nss2_aam_pcs.Case.assoc.gz_XXX
14,16,PPDS,919,107,812,X,nss1_ppds_aam_pcs.Case.assoc.gz_XXX
17,17,KSUD,13,8,5,X,pts1_pts1_aam_pcs.Case.assoc.gz_XXX
17,18,BOBA,84,46,38,X,
17,61,KMC2,40,24,16,X,
17,20,PORT,2,1,1,X,
21,21,GUTS,,,,,
5,22,NHSY,,,,,
23,23,PROM,,,,,
24,24,VETS,,,,,
25,25,PRIS,,,,,
26,26,MIRE,1110,566,544,X,MIRE_aam_analysis1_mf.gz_XXX
27,27,INTR,,,,,
28,28,DAMI,,,,,
30,30,QIMR,,,,,
31,31,NCPT,72,40,32,X,N800_aam_analysis1_mf.gz_XXX
31,32,TRAC,,,,,
33,33,RING,,,,,
35,35,STRO,616,98,518,X,stro_stro_aam_pcs.Case.assoc.gz_XXX
10,36,BRY2,,,,,
37,37,FEEN,68,68,0,X,psy3_psy3_aam_pcs.Case.assoc.gz_XXX
37,38,DCSR,44,44,0,X,
37,39,TEIC,45,2,43,X,
37,40,NIUT,18,7,11,X,
37,41,NCMH,12,7,5,X,
37,42,EACR,4,2,2,X,
4,43,WACH,150,80,70,X,meg2_meg2_aam_pcs.Case.assoc.gz_XXX
4,44,EGHS,493,241,252,X,
4,45,ADNH,97,50,47,X,
4,47,GTPC,4863,1494,3369,,gtpc_gtpc_aam_pcs.PHENO1.assoc.gz_XXX
48,48,BETR,,,,,
49,49,SEEP,,,,,
50,50,COM1,52,29,23,,comc_comc_aam_pcs.PHENO1.assoc.gz_XXX
52,52,FTCB,,,,,
54,54,GRAC,85,52,33,,grac_grac_aam_pcs.PHENO1.assoc.gz_XXX
55,55,GMRF,,,,,
1,56,YEHU,58,35,23,X,wrby_wrby_aam_pcs.Case.assoc.gz_XXX
1,57,BAKE,17,1,16,X,
1,58,VRIS,7,7,0,X,
1,59,WANG,88,69,19,X,
60,60,UKBB,,,,,
62,62,MEDE,,,,,
64,64,BRLS,22,6,16,X,psy5_psy5_aam_pcs.Case.assoc.gz_XXX
64,69,DSAS,28,3,25,X,
64,70,RCSS,111,34,77,X,
64,71,DELB,8,4,4,X,
4,74,EHVP,102,87,15,X,
65,65,MAMH,,,,,
73,73,AURO,460,354,106,,auro_auro_aam_pcs.PHENO1.assoc.gz_XXX
2,76,ONGB,,,,,
3,77,SAF2,96,45,51,X,saf2_saf2_aam_pcs.Case.assoc.gz_XXX
78,78,WTCS,,,,,
79,79,MVP1,25318,5974,19344,,dbGAP_CaseControl_afr.harmonized.gz_XXX
30,80,AGDS,,,,,
81,81,CANA,,,,,
30,82,QIM2,,,,,
83,83,RCOG,1468,177,1291,,PTSDdx.trauma_PTSDdx_oct2017AA.fuma.tbl.gz.fuma.se.gz_XXX
84,84,WTCM,,,,,
28,85,DAI2,,,,,
86,86,BIOV,,,,,
87,87,MGBB,,,,,
88,88,HUNT,,,,,
89,89,SWED,,,,,
90,90,FING,,,,,
60,91,UKB2,,,,,
92,92,BIOM,8207,662,7545,,PTSD_broad_AA_clean.head.assoc.logistic.merged.gwas2.se.gz_XXX
93,93,ESBB,,,,,
94,94,MAYO,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,"a,b,c,d,e,f,g,h,I,j Matching letter indicates studies analyzed as a single unit.",,,,,,
